,200,400,800,1000,2000,3000,5000,10000
AIR,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
CO,4.3,4,3.9,3.8,3.75,3.65,3.6,3.5
Alcohol,4,3.8,3.7,3.6,3.4,3.35,3.2,3.05
smoke,3.9,3.7,3.6,3.5,3.2,3.1,2.9,2.6
H2,3.8,3.3,2.99,2.9,2.5,2.4,2.1,1.9
LPG,2.7,2,1.6,1.6,1.3,1.1,0.9,0.75
CH4,1.8,1.4,1.1,1,0.79,0.7,0.56,0.45
