,200,400,800,1000,2000,3000,5000,10000
AIR,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
propane,1.75,1.1,0.9,0.8,0.6,0.5,0.39,0.28
alcohol,2.9,2,1.8,1.7,1.3,1.1,0.9,0.66
CO,5,4,3.5,3.1,2.5,2.1,1.9,1.5
CH4,3,2.3,1.9,1.8,1.4,1.2,0.95,0.7
LPG,1.7,1.1,0.86,0.8,0.58,0.47,0.37,0.26
H2,2,1.5,1.2,1,0.71,0.6,0.48,0.34
