,200,400,800,1000,2000,3000,5000,10000
AIR,10,10,10,10,10,10,10,10
CO,1.7,1.25,0.86,0.8,,,,
CH4,3.08,2.6,1.9,1.8,1.5,1.25,0.93,0.7
LPG,2.1,1.6,1.2,1,0.7,0.6,0.47,0.33
