,200,400,800,1000,2000,3000,5000,10000
AIR,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Alcohol,3.6,3,2.8,2.7,2.3,2.05,1.9,1.5
CO,3.9,3.2,3,2.95,2.7,2.5,2.45,2.35
CH4,0.95,0.74,0.56,0.51,0.4,0.35,0.29,0.2
LPG,0.7,0.49,0.4,0.36,0.28,0.24,0.19,0.155
H2,1.8,1.3,1.1,1,0.83,0.78,0.74,0.68
