,200,400,800,1000,2000,3000,5000,10000
AIR,10,10,10,10,10,10,10,10
Alcohol,8,7.1,6.4,6.1,5.5,5,4.7,4.3
CO,9,8.5,8,7.8,7.5,7.3,7,6.5
CH4,2.6,1.8,1.6,1.4,1.05,0.9,0.7,0.55
LPG,2,1.45,1.2,1,0.75,0.65,0.51,0.39
H2,5.8,4.4,3.7,3.3,2.8,2.5,2.3,2.05
