,200,400,800,1000,2000,3000,5000,10000
Air,70,70,70,70,70,70,70,70
Alcohol,25,16,12,11,7,5.2,4,2.3
CO,65,62,60,58,49,44,41,40
CH4,55,48,46,44,40,37,32,29.5
LPG,32,26,21,20,17,16,15,14
H2,8.5,3.5,1.5,1,0.39,0.21,0.095,0.029
