,200,400,800,1000,2000,3000,5000,10000
Air,26,26,26,26,26,26,26,26
Alcohol,15,14,13.5,13.5,13,13,NA,NA
CO,0.6,0.38,0.255,0.22,0.155,0.12,NA,NA
CH4,13,12.5,12,12,10.5,9.5,NA,NA
LPG,7.4,6.7,6.1,6,5.5,5.25,NA,NA
H2,0.47,0.28,0.175,0.15,0.088,0.0655,NA,NA
